GRCODE,GRNAME,AccidentYear,DevelopmentYear,DevelopmentLag,IncurredLosses,CumPaidLoss,BulkLoss,EarnedPremDIR,EarnedPremCeded,EarnedPremNet,Single,PostedReserves2007,IncrementalPaid
86,Allstate Ins Co Grp,2002,2003,2,2333,540,595,3284,-19,3303,0,1411339.651,278.0
86,Allstate Ins Co Grp,2002,2004,3,2414,718,557,3284,-19,3303,0,1411339.651,178.0
86,Allstate Ins Co Grp,2002,2005,4,2813,1175,535,3284,-19,3303,0,1411339.651,457.0
86,Allstate Ins Co Grp,2002,2006,5,2716,2285,415,3284,-19,3303,0,1411339.651,1110.0
86,Allstate Ins Co Grp,2002,2007,6,2674,2314,318,3284,-19,3303,0,1411339.651,29.0
86,Allstate Ins Co Grp,2002,2008,7,2666,2354,281,3284,-19,3303,0,1411339.651,40.0
86,Allstate Ins Co Grp,2002,2009,8,2796,2431,286,3284,-19,3303,0,1411339.651,77.0
86,Allstate Ins Co Grp,2002,2010,9,3173,2683,325,3284,-19,3303,0,1411339.651,252.0
86,Allstate Ins Co Grp,2002,2011,10,2902,2791,41,3284,-19,3303,0,1411339.651,108.0
86,Allstate Ins Co Grp,2003,2003,1,1629,162,1128,5446,0,5446,0,1411339.651,162.0
86,Allstate Ins Co Grp,2003,2004,2,2661,1611,671,5446,0,5446,0,1411339.651,1449.0
86,Allstate Ins Co Grp,2003,2005,3,2654,1730,599,5446,0,5446,0,1411339.651,119.0
86,Allstate Ins Co Grp,2003,2006,4,2878,2104,507,5446,0,5446,0,1411339.651,374.0
86,Allstate Ins Co Grp,2003,2007,5,2680,2202,411,5446,0,5446,0,1411339.651,98.0
86,Allstate Ins Co Grp,2003,2008,6,2577,2228,333,5446,0,5446,0,1411339.651,26.0
86,Allstate Ins Co Grp,2003,2009,7,2525,2239,272,5446,0,5446,0,1411339.651,11.0
86,Allstate Ins Co Grp,2003,2010,8,2561,2242,307,5446,0,5446,0,1411339.651,3.0
86,Allstate Ins Co Grp,2003,2011,9,2357,2243,103,5446,0,5446,0,1411339.651,1.0
86,Allstate Ins Co Grp,2003,2012,10,2418,2248,92,5446,0,5446,0,1411339.651,5.0
86,Allstate Ins Co Grp,2004,2004,1,1586,217,1175,3465,0,3465,0,1411339.651,217.0
86,Allstate Ins Co Grp,2004,2005,2,1252,412,789,3465,0,3465,0,1411339.651,195.0
86,Allstate Ins Co Grp,2004,2006,3,1101,468,633,3465,0,3465,0,1411339.651,56.0
86,Allstate Ins Co Grp,2004,2007,4,906,481,423,3465,0,3465,0,1411339.651,13.0
86,Allstate Ins Co Grp,2004,2008,5,845,489,328,3465,0,3465,0,1411339.651,8.0
86,Allstate Ins Co Grp,2004,2009,6,889,525,341,3465,0,3465,0,1411339.651,36.0
86,Allstate Ins Co Grp,2004,2010,7,848,531,282,3465,0,3465,0,1411339.651,6.0
86,Allstate Ins Co Grp,2004,2011,8,648,551,85,3465,0,3465,0,1411339.651,20.0
86,Allstate Ins Co Grp,2004,2012,9,673,564,110,3465,0,3465,0,1411339.651,13.0
86,Allstate Ins Co Grp,2005,2005,1,1672,127,1298,133,-4,137,0,1411339.651,127.0
86,Allstate Ins Co Grp,2005,2006,2,1655,372,760,133,-4,137,0,1411339.651,245.0
86,Allstate Ins Co Grp,2005,2007,3,1717,719,551,133,-4,137,0,1411339.651,347.0
86,Allstate Ins Co Grp,2005,2008,4,2980,1974,538,133,-4,137,0,1411339.651,1255.0
86,Allstate Ins Co Grp,2005,2009,5,3786,2188,520,133,-4,137,0,1411339.651,214.0
86,Allstate Ins Co Grp,2005,2010,6,3647,3290,307,133,-4,137,0,1411339.651,1102.0
86,Allstate Ins Co Grp,2005,2011,7,3533,3324,199,133,-4,137,0,1411339.651,34.0
86,Allstate Ins Co Grp,2005,2012,8,3609,3417,191,133,-4,137,0,1411339.651,93.0
86,Allstate Ins Co Grp,2006,2006,1,1386,189,955,3373,320,3053,0,1411339.651,189.0
86,Allstate Ins Co Grp,2006,2007,2,1372,412,654,3373,320,3053,0,1411339.651,223.0
86,Allstate Ins Co Grp,2006,2008,3,1641,826,741,3373,320,3053,0,1411339.651,414.0
86,Allstate Ins Co Grp,2006,2009,4,1751,920,691,3373,320,3053,0,1411339.651,94.0
86,Allstate Ins Co Grp,2006,2010,5,1434,957,328,3373,320,3053,0,1411339.651,37.0
86,Allstate Ins Co Grp,2006,2011,6,1668,1407,232,3373,320,3053,0,1411339.651,450.0
86,Allstate Ins Co Grp,2006,2012,7,1753,1441,221,3373,320,3053,0,1411339.651,34.0
86,Allstate Ins Co Grp,2006,2013,8,1660,1459,201,3373,320,3053,0,1411339.651,18.0
86,Allstate Ins Co Grp,2006,2015,10,1534,1461,73,3373,320,3053,0,1411339.651,3.0
86,Allstate Ins Co Grp,2007,2007,1,1100,164,891,2050,13,2037,0,1411339.651,164.0
86,Allstate Ins Co Grp,2007,2008,2,987,222,720,2050,13,2037,0,1411339.651,58.0
86,Allstate Ins Co Grp,2007,2009,3,1487,248,678,2050,13,2037,0,1411339.651,26.0
86,Allstate Ins Co Grp,2007,2010,4,1336,823,464,2050,13,2037,0,1411339.651,575.0
86,Allstate Ins Co Grp,2007,2011,5,1497,831,641,2050,13,2037,0,1411339.651,8.0
86,Allstate Ins Co Grp,2007,2013,7,1262,832,403,2050,13,2037,0,1411339.651,1.0
86,Allstate Ins Co Grp,2007,2014,8,1204,833,350,2050,13,2037,0,1411339.651,1.0
86,Allstate Ins Co Grp,2007,2015,9,945,834,93,2050,13,2037,0,1411339.651,1.0
9571,American Re Grp,1998,2006,9,42,42,0,1,0,1,0,34150.505,42.0
9571,American Re Grp,1999,2008,10,-5876,-5878,2,6,1,5,0,34150.505,1.0
9571,American Re Grp,2000,2006,7,5053,5053,0,6,3,3,0,34150.505,5053.0
9571,American Re Grp,2001,2006,6,831,831,0,5,-16,21,0,34150.505,831.0
9571,American Re Grp,2001,2007,7,832,833,0,5,-16,21,0,34150.505,2.0
9571,American Re Grp,2001,2010,10,804,804,0,5,-16,21,0,34150.505,12.0
9571,American Re Grp,2002,2006,5,7937,7391,-36,2,-21,23,0,34150.505,7391.0
9571,American Re Grp,2002,2009,8,6420,1598,4415,2,-21,23,0,34150.505,72.0
9571,American Re Grp,2002,2010,9,4192,1737,2372,2,-21,23,0,34150.505,139.0
9571,American Re Grp,2002,2011,10,2028,1756,-5,2,-21,23,0,34150.505,19.0
9571,American Re Grp,2003,2006,4,3770,616,2710,1,0,1,0,34150.505,616.0
9571,American Re Grp,2003,2007,5,1894,1506,-82,1,0,1,0,34150.505,890.0
9571,American Re Grp,2003,2008,6,3372,3089,-453,1,0,1,0,34150.505,1583.0
9571,American Re Grp,2003,2010,8,1274,-85,34,1,0,1,0,34150.505,567.0
9571,American Re Grp,2003,2012,10,3865,-353,417,1,0,1,0,34150.505,366.0
9571,American Re Grp,2004,2006,3,5190,967,3076,54,51,3,0,34150.505,967.0
9571,American Re Grp,2004,2007,4,8623,2129,4859,54,51,3,0,34150.505,1162.0
9571,American Re Grp,2004,2008,5,8256,3302,3571,54,51,3,0,34150.505,1173.0
9571,American Re Grp,2004,2010,7,6600,4157,2656,54,51,3,0,34150.505,1512.0
9571,American Re Grp,2004,2011,8,5310,4601,540,54,51,3,0,34150.505,444.0
9571,American Re Grp,2004,2012,9,8892,4760,3954,54,51,3,0,34150.505,159.0
9571,American Re Grp,2004,2013,10,5868,4822,723,54,51,3,0,34150.505,62.0
9571,American Re Grp,2005,2006,2,5245,137,4314,72,68,4,0,34150.505,137.0
9571,American Re Grp,2005,2007,3,6837,703,5204,72,68,4,0,34150.505,566.0
9571,American Re Grp,2005,2008,4,7479,2034,3989,72,68,4,0,34150.505,1331.0
9571,American Re Grp,2005,2010,6,9401,4471,4352,72,68,4,0,34150.505,2896.0
9571,American Re Grp,2005,2011,7,6326,4478,1327,72,68,4,0,34150.505,7.0
9571,American Re Grp,2005,2012,8,8579,4978,3013,72,68,4,0,34150.505,500.0
9571,American Re Grp,2005,2013,9,6287,5313,433,72,68,4,0,34150.505,335.0
9571,American Re Grp,2005,2014,10,5929,5420,307,72,68,4,0,34150.505,107.0
9571,American Re Grp,2006,2006,1,4657,125,4371,20890,5260,15630,0,34150.505,125.0
9571,American Re Grp,2006,2007,2,3174,550,2022,20890,5260,15630,0,34150.505,425.0
9571,American Re Grp,2006,2008,3,2391,977,324,20890,5260,15630,0,34150.505,427.0
9571,American Re Grp,2006,2009,4,1651,2001,-1359,20890,5260,15630,0,34150.505,1024.0
9571,American Re Grp,2006,2010,5,3456,2880,-638,20890,5260,15630,0,34150.505,879.0
9571,American Re Grp,2006,2012,7,9869,4766,3907,20890,5260,15630,0,34150.505,2674.0
9571,American Re Grp,2006,2013,8,6654,5768,597,20890,5260,15630,0,34150.505,1002.0
9571,American Re Grp,2007,2007,1,15918,453,14686,35461,8656,26804,0,34150.505,453.0
9571,American Re Grp,2007,2008,2,11327,919,9496,35461,8656,26804,0,34150.505,466.0
9571,American Re Grp,2007,2009,3,11665,1325,8546,35461,8656,26804,0,34150.505,406.0
9571,American Re Grp,2007,2010,4,13032,3556,8096,35461,8656,26804,0,34150.505,2231.0
9571,American Re Grp,2007,2011,5,11353,4810,5167,35461,8656,26804,0,34150.505,1254.0
9571,American Re Grp,2007,2012,6,13944,9363,2806,35461,8656,26804,0,34150.505,4553.0
9571,American Re Grp,2007,2015,9,10193,8959,599,35461,8656,26804,0,34150.505,484.0
9571,American Re Grp,2007,2016,10,9648,9132,329,35461,8656,26804,0,34150.505,173.0
10308,Antilles Ins Co,2000,2002,3,3,3,0,185,45,140,1,188.96,3.0
10308,Antilles Ins Co,2000,2003,4,10,10,0,185,45,140,1,188.96,7.0
10308,Antilles Ins Co,2001,2001,1,207,1,180,202,51,151,1,188.96,1.0
10308,Antilles Ins Co,2001,2002,2,59,14,0,202,51,151,1,188.96,13.0
10308,Antilles Ins Co,2001,2003,3,101,32,0,202,51,151,1,188.96,18.0
10308,Antilles Ins Co,2001,2004,4,83,73,0,202,51,151,1,188.96,41.0
10308,Antilles Ins Co,2001,2005,5,87,77,0,202,51,151,1,188.96,4.0
10308,Antilles Ins Co,2001,2006,6,88,78,0,202,51,151,1,188.96,1.0
10308,Antilles Ins Co,2001,2007,7,82,82,0,202,51,151,1,188.96,4.0
10308,Antilles Ins Co,2002,2002,1,227,9,180,183,48,135,1,188.96,9.0
10308,Antilles Ins Co,2002,2003,2,32,12,0,183,48,135,1,188.96,3.0
10308,Antilles Ins Co,2002,2004,3,15,15,0,183,48,135,1,188.96,3.0
10308,Antilles Ins Co,2003,2004,2,14,4,0,195,57,138,1,188.96,4.0
10308,Antilles Ins Co,2003,2005,3,14,14,0,195,57,138,1,188.96,10.0
10308,Antilles Ins Co,2003,2006,4,28,18,0,195,57,138,1,188.96,4.0
10308,Antilles Ins Co,2003,2007,5,27,27,0,195,57,138,1,188.96,9.0
10308,Antilles Ins Co,2004,2004,1,281,8,180,172,45,127,1,188.96,8.0
10308,Antilles Ins Co,2004,2005,2,155,73,0,172,45,127,1,188.96,65.0
10308,Antilles Ins Co,2004,2006,3,179,82,0,172,45,127,1,188.96,9.0
10308,Antilles Ins Co,2004,2007,4,183,96,0,172,45,127,1,188.96,14.0
10308,Antilles Ins Co,2004,2008,5,98,98,0,172,45,127,1,188.96,2.0
10308,Antilles Ins Co,2005,2005,1,204,6,180,164,36,128,1,188.96,6.0
10308,Antilles Ins Co,2005,2006,2,58,18,0,164,36,128,1,188.96,12.0
10308,Antilles Ins Co,2005,2007,3,40,40,0,164,36,128,1,188.96,22.0
10308,Antilles Ins Co,2006,2006,1,113,43,0,135,29,106,1,188.96,43.0
10308,Antilles Ins Co,2006,2007,2,94,44,0,135,29,106,1,188.96,1.0
10308,Antilles Ins Co,2006,2008,3,45,45,0,135,29,106,1,188.96,1.0
10308,Antilles Ins Co,2007,2007,1,54,2,0,146,33,113,1,188.96,2.0
10308,Antilles Ins Co,2007,2008,2,13,13,0,146,33,113,1,188.96,11.0
248,Atlantic Mut Grp,1998,1998,1,556,34,310,570,22,548,0,2379.499,34.0
248,Atlantic Mut Grp,1998,1999,2,747,83,97,570,22,548,0,2379.499,49.0
248,Atlantic Mut Grp,1998,2000,3,960,93,46,570,22,548,0,2379.499,10.0
248,Atlantic Mut Grp,1998,2001,4,1906,605,30,570,22,548,0,2379.499,512.0
248,Atlantic Mut Grp,1998,2002,5,1241,1116,46,570,22,548,0,2379.499,511.0
248,Atlantic Mut Grp,1998,2003,6,1339,1261,73,570,22,548,0,2379.499,145.0
248,Atlantic Mut Grp,1999,1999,1,1006,533,351,1795,1065,730,0,2379.499,533.0
248,Atlantic Mut Grp,1999,2000,2,1474,766,63,1795,1065,730,0,2379.499,233.0
248,Atlantic Mut Grp,1999,2001,3,2972,2044,122,1795,1065,730,0,2379.499,1278.0
248,Atlantic Mut Grp,1999,2002,4,2845,2522,93,1795,1065,730,0,2379.499,478.0
248,Atlantic Mut Grp,1999,2003,5,2724,2580,70,1795,1065,730,0,2379.499,58.0
248,Atlantic Mut Grp,1999,2004,6,2706,2659,32,1795,1065,730,0,2379.499,79.0
248,Atlantic Mut Grp,1999,2005,7,2713,2674,36,1795,1065,730,0,2379.499,15.0
248,Atlantic Mut Grp,1999,2006,8,2790,2696,91,1795,1065,730,0,2379.499,22.0
248,Atlantic Mut Grp,1999,2007,9,2814,2728,40,1795,1065,730,0,2379.499,32.0
248,Atlantic Mut Grp,1999,2008,10,2866,2839,30,1795,1065,730,0,2379.499,111.0
248,Atlantic Mut Grp,2000,2000,1,386,25,255,789,19,770,0,2379.499,25.0
248,Atlantic Mut Grp,2000,2001,2,306,104,147,789,19,770,0,2379.499,79.0
248,Atlantic Mut Grp,2000,2002,3,416,134,58,789,19,770,0,2379.499,30.0
248,Atlantic Mut Grp,2000,2003,4,704,418,187,789,19,770,0,2379.499,284.0
248,Atlantic Mut Grp,2000,2004,5,623,455,49,789,19,770,0,2379.499,37.0
248,Atlantic Mut Grp,2000,2005,6,767,501,30,789,19,770,0,2379.499,46.0
248,Atlantic Mut Grp,2000,2007,8,760,507,28,789,19,770,0,2379.499,11.0
248,Atlantic Mut Grp,2000,2008,9,655,520,20,789,19,770,0,2379.499,13.0
248,Atlantic Mut Grp,2000,2009,10,662,534,17,789,19,770,0,2379.499,14.0
12260,Campmed Cas & Ind Co Inc MD,1998,1998,1,574,1,558,1316,0,1316,1,4616.621,1.0
12260,Campmed Cas & Ind Co Inc MD,1998,1999,2,278,18,196,1316,0,1316,1,4616.621,17.0
12260,Campmed Cas & Ind Co Inc MD,1998,2000,3,277,86,100,1316,0,1316,1,4616.621,68.0
12260,Campmed Cas & Ind Co Inc MD,1998,2001,4,296,141,56,1316,0,1316,1,4616.621,55.0
12260,Campmed Cas & Ind Co Inc MD,1998,2003,6,496,325,114,1316,0,1316,1,4616.621,184.0
12260,Campmed Cas & Ind Co Inc MD,1998,2004,7,405,347,6,1316,0,1316,1,4616.621,22.0
12260,Campmed Cas & Ind Co Inc MD,1998,2005,8,401,349,0,1316,0,1316,1,4616.621,2.0
12260,Campmed Cas & Ind Co Inc MD,1999,2000,2,294,28,223,1104,0,1104,1,4616.621,28.0
12260,Campmed Cas & Ind Co Inc MD,1999,2001,3,224,50,83,1104,0,1104,1,4616.621,22.0
12260,Campmed Cas & Ind Co Inc MD,1999,2003,5,238,51,84,1104,0,1104,1,4616.621,1.0
12260,Campmed Cas & Ind Co Inc MD,1999,2004,6,376,283,66,1104,0,1104,1,4616.621,232.0
12260,Campmed Cas & Ind Co Inc MD,1999,2005,7,320,311,2,1104,0,1104,1,4616.621,28.0
12260,Campmed Cas & Ind Co Inc MD,1999,2006,8,352,345,0,1104,0,1104,1,4616.621,34.0
12260,Campmed Cas & Ind Co Inc MD,1999,2007,9,406,376,0,1104,0,1104,1,4616.621,31.0
12260,Campmed Cas & Ind Co Inc MD,1999,2008,10,412,383,29,1104,0,1104,1,4616.621,7.0
12260,Campmed Cas & Ind Co Inc MD,2000,2000,1,296,3,285,1110,0,1110,1,4616.621,3.0
12260,Campmed Cas & Ind Co Inc MD,2000,2001,2,291,26,130,1110,0,1110,1,4616.621,23.0
12260,Campmed Cas & Ind Co Inc MD,2000,2002,3,355,41,155,1110,0,1110,1,4616.621,15.0
12260,Campmed Cas & Ind Co Inc MD,2000,2003,4,274,96,118,1110,0,1110,1,4616.621,55.0
12260,Campmed Cas & Ind Co Inc MD,2000,2004,5,427,326,94,1110,0,1110,1,4616.621,230.0
12260,Campmed Cas & Ind Co Inc MD,2000,2005,6,409,376,27,1110,0,1110,1,4616.621,50.0
12260,Campmed Cas & Ind Co Inc MD,2000,2006,7,443,430,11,1110,0,1110,1,4616.621,54.0
12260,Campmed Cas & Ind Co Inc MD,2000,2007,8,459,433,0,1110,0,1110,1,4616.621,3.0
12260,Campmed Cas & Ind Co Inc MD,2000,2008,9,477,452,25,1110,0,1110,1,4616.621,19.0
12260,Campmed Cas & Ind Co Inc MD,2000,2009,10,455,455,0,1110,0,1110,1,4616.621,3.0
12260,Campmed Cas & Ind Co Inc MD,2001,2001,1,355,4,346,1472,206,1266,1,4616.621,4.0
12260,Campmed Cas & Ind Co Inc MD,2001,2002,2,375,44,267,1472,206,1266,1,4616.621,40.0
12260,Campmed Cas & Ind Co Inc MD,2001,2003,3,355,187,108,1472,206,1266,1,4616.621,143.0
12260,Campmed Cas & Ind Co Inc MD,2001,2004,4,548,268,118,1472,206,1266,1,4616.621,81.0
12260,Campmed Cas & Ind Co Inc MD,2001,2005,5,595,331,90,1472,206,1266,1,4616.621,63.0
12260,Campmed Cas & Ind Co Inc MD,2001,2006,6,606,430,54,1472,206,1266,1,4616.621,99.0
12260,Campmed Cas & Ind Co Inc MD,2001,2007,7,620,471,24,1472,206,1266,1,4616.621,41.0
12260,Campmed Cas & Ind Co Inc MD,2001,2008,8,597,481,2,1472,206,1266,1,4616.621,10.0
12260,Campmed Cas & Ind Co Inc MD,2001,2009,9,595,485,1,1472,206,1266,1,4616.621,4.0
12260,Campmed Cas & Ind Co Inc MD,2001,2010,10,647,647,0,1472,206,1266,1,4616.621,162.0
12260,Campmed Cas & Ind Co Inc MD,2002,2002,1,773,2,712,3822,1730,2092,1,4616.621,2.0
12260,Campmed Cas & Ind Co Inc MD,2002,2003,2,697,21,617,3822,1730,2092,1,4616.621,19.0
12260,Campmed Cas & Ind Co Inc MD,2002,2004,3,322,35,259,3822,1730,2092,1,4616.621,14.0
12260,Campmed Cas & Ind Co Inc MD,2002,2005,4,355,183,104,3822,1730,2092,1,4616.621,148.0
12260,Campmed Cas & Ind Co Inc MD,2002,2006,5,368,282,63,3822,1730,2092,1,4616.621,99.0
12260,Campmed Cas & Ind Co Inc MD,2002,2007,6,386,335,30,3822,1730,2092,1,4616.621,53.0
12260,Campmed Cas & Ind Co Inc MD,2002,2008,7,404,375,24,3822,1730,2092,1,4616.621,40.0
12260,Campmed Cas & Ind Co Inc MD,2002,2009,8,386,383,3,3822,1730,2092,1,4616.621,8.0
12260,Campmed Cas & Ind Co Inc MD,2002,2010,9,518,518,0,3822,1730,2092,1,4616.621,135.0
12260,Campmed Cas & Ind Co Inc MD,2003,2003,1,767,11,747,4065,2189,1876,1,4616.621,11.0
12260,Campmed Cas & Ind Co Inc MD,2003,2004,2,814,43,664,4065,2189,1876,1,4616.621,32.0
12260,Campmed Cas & Ind Co Inc MD,2003,2005,3,814,130,475,4065,2189,1876,1,4616.621,87.0
12260,Campmed Cas & Ind Co Inc MD,2003,2006,4,880,291,284,4065,2189,1876,1,4616.621,161.0
12260,Campmed Cas & Ind Co Inc MD,2003,2007,5,919,614,151,4065,2189,1876,1,4616.621,323.0
12260,Campmed Cas & Ind Co Inc MD,2003,2008,6,765,616,81,4065,2189,1876,1,4616.621,2.0
12260,Campmed Cas & Ind Co Inc MD,2003,2009,7,791,628,31,4065,2189,1876,1,4616.621,12.0
12260,Campmed Cas & Ind Co Inc MD,2003,2010,8,775,775,0,4065,2189,1876,1,4616.621,147.0
12260,Campmed Cas & Ind Co Inc MD,2004,2004,1,1006,2,996,4454,2435,2019,1,4616.621,2.0
12260,Campmed Cas & Ind Co Inc MD,2004,2005,2,948,19,891,4454,2435,2019,1,4616.621,17.0
12260,Campmed Cas & Ind Co Inc MD,2004,2006,3,947,29,865,4454,2435,2019,1,4616.621,10.0
12260,Campmed Cas & Ind Co Inc MD,2004,2007,4,948,67,783,4454,2435,2019,1,4616.621,38.0
12260,Campmed Cas & Ind Co Inc MD,2004,2008,5,949,206,611,4454,2435,2019,1,4616.621,139.0
12260,Campmed Cas & Ind Co Inc MD,2004,2009,6,708,564,81,4454,2435,2019,1,4616.621,358.0
12260,Campmed Cas & Ind Co Inc MD,2004,2010,7,663,663,0,4454,2435,2019,1,4616.621,99.0
12260,Campmed Cas & Ind Co Inc MD,2005,2005,1,1144,2,1139,4377,2404,1973,1,4616.621,2.0
12260,Campmed Cas & Ind Co Inc MD,2005,2006,2,845,27,777,4377,2404,1973,1,4616.621,25.0
12260,Campmed Cas & Ind Co Inc MD,2005,2007,3,848,137,590,4377,2404,1973,1,4616.621,110.0
12260,Campmed Cas & Ind Co Inc MD,2005,2008,4,988,598,349,4377,2404,1973,1,4616.621,461.0
12260,Campmed Cas & Ind Co Inc MD,2005,2009,5,911,653,236,4377,2404,1973,1,4616.621,55.0
